Author,Names,Jobs,Num_Trials,Model,Temperature,Metric,Sensitive_Attribute_Vector,Result_Vector,Std_Error_Vector,P_Value_Vector
M,1989,1988,0.49725,0.9890601690701144,ALL,gpt-4o-mini,1,armstrong,armstrong
W,2011,2012,0.50275,1.0,ALL,gpt-4o-mini,1,armstrong,armstrong
M,1894,1988,0.4735,0.899335232668566,ALL,gpt-4o-mini,1,armstrong,rozado
W,2106,2012,0.5265,1.0,ALL,gpt-4o-mini,1,armstrong,rozado
M,2061,1988,0.51525,1.0,ALL,gpt-4o-mini,1,armstrong,wen
W,1939,2012,0.48475,0.940805434255216,ALL,gpt-4o-mini,1,armstrong,wen
M,1955,1988,0.48875,0.9559902200488998,ALL,gpt-4o-mini,1,armstrong,wang
W,2045,2012,0.51125,1.0,ALL,gpt-4o-mini,1,armstrong,wang
M,1885,1988,0.47125,0.8912529550827423,ALL,gpt-4o-mini,1,armstrong,karvonen
W,2115,2012,0.52875,1.0,ALL,gpt-4o-mini,1,armstrong,karvonen
M,987,994,0.4935,0.9743336623889438,ALL,gpt-4o-mini,1,armstrong,zollo
W,1013,1006,0.5065,1.0,ALL,gpt-4o-mini,1,armstrong,zollo
M,1761,1988,0.44025,0.7865118356409111,ALL,gpt-4o-mini,1,armstrong,yin
W,2239,2012,0.55975,1.0,ALL,gpt-4o-mini,1,armstrong,yin
M,2075,2076,0.51875,1.0,ALL,gpt-4o-mini,1,rozado,armstrong
W,1925,1924,0.48125,0.927710843373494,ALL,gpt-4o-mini,1,rozado,armstrong
M,1903,2076,0.47575,0.9074868860276586,ALL,gpt-4o-mini,1,rozado,rozado
W,2097,1924,0.52425,1.0,ALL,gpt-4o-mini,1,rozado,rozado
M,2047,2076,0.51175,1.0,ALL,gpt-4o-mini,1,rozado,wen
W,1953,1924,0.48825,0.9540791402051783,ALL,gpt-4o-mini,1,rozado,wen
M,1919,2076,0.47975,0.9221528111484864,ALL,gpt-4o-mini,1,rozado,wang
W,2081,1924,0.52025,1.0,ALL,gpt-4o-mini,1,rozado,wang
M,1896,2075,0.474,0.9011406844106463,ALL,gpt-4o-mini,1,rozado,karvonen
W,2104,1925,0.526,1.0,ALL,gpt-4o-mini,1,rozado,karvonen
M,922,1038,0.461,0.8552875695732839,ALL,gpt-4o-mini,1,rozado,zollo
W,1078,962,0.539,1.0,ALL,gpt-4o-mini,1,rozado,zollo
M,1730,2076,0.4325,0.762114537444934,ALL,gpt-4o-mini,1,rozado,yin
W,2270,1924,0.5675,1.0,ALL,gpt-4o-mini,1,rozado,yin
M,2044,2044,0.511,1.0,ALL,gpt-4o-mini,1,wen,armstrong
W,1956,1956,0.489,0.9569471624266145,ALL,gpt-4o-mini,1,wen,armstrong
M,2042,2044,0.5105,1.0,ALL,gpt-4o-mini,1,wen,rozado
W,1958,1956,0.4895,0.9588638589618023,ALL,gpt-4o-mini,1,wen,rozado
M,2039,2044,0.50975,1.0,ALL,gpt-4o-mini,1,wen,wen
W,1961,1956,0.49025,0.9617459538989701,ALL,gpt-4o-mini,1,wen,wen
M,1971,2042,0.49275,0.9714144898965008,ALL,gpt-4o-mini,1,wen,wang
W,2029,1958,0.50725,1.0,ALL,gpt-4o-mini,1,wen,wang
M,1950,2044,0.4875,0.951219512195122,ALL,gpt-4o-mini,1,wen,karvonen
W,2050,1956,0.5125,1.0,ALL,gpt-4o-mini,1,wen,karvonen
M,976,1022,0.488,0.953125,ALL,gpt-4o-mini,1,wen,zollo
W,1024,978,0.512,1.0,ALL,gpt-4o-mini,1,wen,zollo
M,1821,2043,0.45525,0.8357044515832951,ALL,gpt-4o-mini,1,wen,yin
W,2179,1957,0.54475,1.0,ALL,gpt-4o-mini,1,wen,yin
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,armstrong
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,armstrong
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,rozado
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,rozado
M,2085,2085,0.52125,1.0,ALL,gpt-4o-mini,1,wang,wen
W,1915,1915,0.47875,0.9184652278177459,ALL,gpt-4o-mini,1,wang,wen
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,wang
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,wang
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,karvonen
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,karvonen
M,1042,1042,0.521,1.0,ALL,gpt-4o-mini,1,wang,zollo
W,958,958,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,zollo
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,yin
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,yin
M,1975,1975,0.49375,0.9753086419753088,ALL,gpt-4o-mini,1,seshadri,armstrong
W,2025,2025,0.50625,1.0,ALL,gpt-4o-mini,1,seshadri,armstrong
M,1888,1976,0.472,0.8939393939393938,ALL,gpt-4o-mini,1,seshadri,rozado
W,2112,2024,0.528,1.0,ALL,gpt-4o-mini,1,seshadri,rozado
M,2008,1976,0.502,1.0,ALL,gpt-4o-mini,1,seshadri,wen
W,1992,2024,0.498,0.9920318725099602,ALL,gpt-4o-mini,1,seshadri,wen
M,1882,1984,0.4705,0.8885741265344664,ALL,gpt-4o-mini,1,seshadri,wang
W,2118,2016,0.5295,1.0,ALL,gpt-4o-mini,1,seshadri,wang
M,1805,1984,0.45125,0.8223234624145787,ALL,gpt-4o-mini,1,seshadri,karvonen
W,2195,2016,0.54875,1.0,ALL,gpt-4o-mini,1,seshadri,karvonen
M,896,990,0.448,0.8115942028985507,ALL,gpt-4o-mini,1,seshadri,zollo
W,1104,1010,0.552,1.0,ALL,gpt-4o-mini,1,seshadri,zollo
M,1711,1977,0.42775,0.7474879860200961,ALL,gpt-4o-mini,1,seshadri,yin
W,2289,2023,0.57225,1.0,ALL,gpt-4o-mini,1,seshadri,yin
M,1995,1996,0.49875,0.9950124688279303,ALL,gpt-4o-mini,1,karvonen,armstrong
W,2005,2004,0.50125,1.0,ALL,gpt-4o-mini,1,karvonen,armstrong
M,1915,1996,0.47875,0.9184652278177459,ALL,gpt-4o-mini,1,karvonen,rozado
W,2085,2004,0.52125,1.0,ALL,gpt-4o-mini,1,karvonen,rozado
M,2096,1996,0.524,1.0,ALL,gpt-4o-mini,1,karvonen,wen
W,1904,2004,0.476,0.9083969465648855,ALL,gpt-4o-mini,1,karvonen,wen
M,1914,1996,0.4785,0.9175455417066155,ALL,gpt-4o-mini,1,karvonen,wang
W,2086,2004,0.5215,1.0,ALL,gpt-4o-mini,1,karvonen,wang
M,1921,1996,0.48025,0.9240019240019239,ALL,gpt-4o-mini,1,karvonen,karvonen
W,2079,2004,0.51975,1.0,ALL,gpt-4o-mini,1,karvonen,karvonen
M,964,998,0.482,0.9305019305019304,ALL,gpt-4o-mini,1,karvonen,zollo
W,1036,1002,0.518,1.0,ALL,gpt-4o-mini,1,karvonen,zollo
M,1735,1996,0.43375,0.7660044150110376,ALL,gpt-4o-mini,1,karvonen,yin
W,2265,2004,0.56625,1.0,ALL,gpt-4o-mini,1,karvonen,yin
M,1907,1908,0.47675,0.9111323459149546,ALL,gpt-4o-mini,1,zollo,armstrong
W,2093,2092,0.52325,1.0,ALL,gpt-4o-mini,1,zollo,armstrong
M,1843,1908,0.46075,0.8544274455261938,ALL,gpt-4o-mini,1,zollo,rozado
W,2157,2092,0.53925,1.0,ALL,gpt-4o-mini,1,zollo,rozado
M,2017,1908,0.50425,1.0,ALL,gpt-4o-mini,1,zollo,wen
W,1983,2092,0.49575,0.983143282102132,ALL,gpt-4o-mini,1,zollo,wen
M,1896,1912,0.474,0.9011406844106463,ALL,gpt-4o-mini,1,zollo,wang
W,2104,2088,0.526,1.0,ALL,gpt-4o-mini,1,zollo,wang
M,1833,1908,0.45825,0.8458698661744347,ALL,gpt-4o-mini,1,zollo,karvonen
W,2167,2092,0.54175,1.0,ALL,gpt-4o-mini,1,zollo,karvonen
M,959,954,0.4795,0.9212295869356388,ALL,gpt-4o-mini,1,zollo,zollo
W,1041,1046,0.5205,1.0,ALL,gpt-4o-mini,1,zollo,zollo
M,1671,1908,0.41775,0.7174753112924002,ALL,gpt-4o-mini,1,zollo,yin
W,2329,2092,0.58225,1.0,ALL,gpt-4o-mini,1,zollo,yin
M,1907,1908,0.47675,0.9111323459149546,ALL,gpt-4o-mini,1,yin,armstrong
W,2093,2092,0.52325,1.0,ALL,gpt-4o-mini,1,yin,armstrong
M,1815,1908,0.45375,0.8306636155606407,ALL,gpt-4o-mini,1,yin,rozado
W,2185,2092,0.54625,1.0,ALL,gpt-4o-mini,1,yin,rozado
M,2019,1908,0.50475,1.0,ALL,gpt-4o-mini,1,yin,wen
W,1981,2092,0.49525,0.9811788013868251,ALL,gpt-4o-mini,1,yin,wen
M,1848,1908,0.462,0.8587360594795539,ALL,gpt-4o-mini,1,yin,wang
W,2152,2092,0.538,1.0,ALL,gpt-4o-mini,1,yin,wang
M,1841,1907,0.46025,0.8527095877721168,ALL,gpt-4o-mini,1,yin,karvonen
W,2159,2093,0.53975,1.0,ALL,gpt-4o-mini,1,yin,karvonen
M,956,954,0.478,0.9157088122605364,ALL,gpt-4o-mini,1,yin,zollo
W,1044,1046,0.522,1.0,ALL,gpt-4o-mini,1,yin,zollo
M,1666,1908,0.4165,0.7137960582690659,ALL,gpt-4o-mini,1,yin,yin
W,2334,2092,0.5835,1.0,ALL,gpt-4o-mini,1,yin,yin
M,2118,2120,0.5295,1.0,ALL,gpt-4o-mini,1,gaeb,armstrong
W,1882,1880,0.4705,0.8885741265344664,ALL,gpt-4o-mini,1,gaeb,armstrong
M,1865,2120,0.46625,0.873536299765808,ALL,gpt-4o-mini,1,gaeb,rozado
W,2135,1880,0.53375,1.0,ALL,gpt-4o-mini,1,gaeb,rozado
M,2040,2122,0.51,1.0,ALL,gpt-4o-mini,1,gaeb,wen
W,1960,1878,0.49,0.9607843137254901,ALL,gpt-4o-mini,1,gaeb,wen
M,1837,2120,0.45925,0.849283402681461,ALL,gpt-4o-mini,1,gaeb,wang
W,2163,1880,0.54075,1.0,ALL,gpt-4o-mini,1,gaeb,wang
M,1918,2120,0.4795,0.9212295869356388,ALL,gpt-4o-mini,1,gaeb,karvonen
W,2082,1880,0.5205,1.0,ALL,gpt-4o-mini,1,gaeb,karvonen
M,938,1060,0.469,0.8832391713747645,ALL,gpt-4o-mini,1,gaeb,zollo
W,1062,940,0.531,1.0,ALL,gpt-4o-mini,1,gaeb,zollo
M,1681,2120,0.42025,0.7248814144027599,ALL,gpt-4o-mini,1,gaeb,yin
W,2319,1880,0.57975,1.0,ALL,gpt-4o-mini,1,gaeb,yin
M,2077,2076,0.51925,1.0,ALL,gpt-4o-mini,1,lippens,armstrong
W,1923,1924,0.48075,0.9258545979778527,ALL,gpt-4o-mini,1,lippens,armstrong
M,2003,2076,0.50075,1.0,ALL,gpt-4o-mini,1,lippens,rozado
W,1997,1924,0.49925,0.9970044932601099,ALL,gpt-4o-mini,1,lippens,rozado
M,2182,2076,0.5455,1.0,ALL,gpt-4o-mini,1,lippens,wen
W,1818,1924,0.4545,0.8331805682859762,ALL,gpt-4o-mini,1,lippens,wen
M,2110,2076,0.5275,1.0,ALL,gpt-4o-mini,1,lippens,wang
W,1890,1924,0.4725,0.8957345971563981,ALL,gpt-4o-mini,1,lippens,wang
M,2068,2076,0.517,1.0,ALL,gpt-4o-mini,1,lippens,karvonen
W,1932,1924,0.483,0.9342359767891683,ALL,gpt-4o-mini,1,lippens,karvonen
M,1016,1038,0.508,1.0,ALL,gpt-4o-mini,1,lippens,zollo
W,984,962,0.492,0.968503937007874,ALL,gpt-4o-mini,1,lippens,zollo
M,1924,2076,0.481,0.9267822736030827,ALL,gpt-4o-mini,1,lippens,yin
W,2076,1924,0.519,1.0,ALL,gpt-4o-mini,1,lippens,yin
M,2019,1990,0.50475,1.0,ALL,gpt-5-nano-2025-08-07,1,armstrong,armstrong
W,1981,2010,0.49525,0.9811788013868251,ALL,gpt-5-nano-2025-08-07,1,armstrong,armstrong
M,1816,1991,0.454,0.8315018315018314,ALL,gpt-5-nano-2025-08-07,1,armstrong,rozado
W,2184,2009,0.546,1.0,ALL,gpt-5-nano-2025-08-07,1,armstrong,rozado
M,1898,1988,0.4745,0.9029495718363464,ALL,gpt-5-nano-2025-08-07,1,armstrong,wen
W,2102,2012,0.5255,1.0,ALL,gpt-5-nano-2025-08-07,1,armstrong,wen
M,1876,1988,0.469,0.8832391713747645,ALL,gpt-5-nano-2025-08-07,1,armstrong,wang
W,2124,2012,0.531,1.0,ALL,gpt-5-nano-2025-08-07,1,armstrong,wang
M,1718,1993,0.4295,0.7528483786152498,ALL,gpt-5-nano-2025-08-07,1,armstrong,karvonen
W,2282,2007,0.5705,1.0,ALL,gpt-5-nano-2025-08-07,1,armstrong,karvonen
M,944,993,0.472,0.8939393939393938,ALL,gpt-5-nano-2025-08-07,1,armstrong,zollo
W,1056,1007,0.528,1.0,ALL,gpt-5-nano-2025-08-07,1,armstrong,zollo
M,1544,1990,0.386,0.6286644951140066,ALL,gpt-5-nano-2025-08-07,1,armstrong,yin
W,2456,2010,0.614,1.0,ALL,gpt-5-nano-2025-08-07,1,armstrong,yin
M,2075,2076,0.51875,1.0,ALL,gpt-5-nano-2025-08-07,1,rozado,armstrong
W,1925,1924,0.48125,0.927710843373494,ALL,gpt-5-nano-2025-08-07,1,rozado,armstrong
M,1858,2078,0.4645,0.8674136321195146,ALL,gpt-5-nano-2025-08-07,1,rozado,rozado
W,2142,1922,0.5355,1.0,ALL,gpt-5-nano-2025-08-07,1,rozado,rozado
M,1941,2079,0.48525,0.9426906265177271,ALL,gpt-5-nano-2025-08-07,1,rozado,wen
W,2059,1921,0.51475,1.0,ALL,gpt-5-nano-2025-08-07,1,rozado,wen
M,1929,2081,0.48225,0.9314340898116851,ALL,gpt-5-nano-2025-08-07,1,rozado,wang
W,2071,1919,0.51775,1.0,ALL,gpt-5-nano-2025-08-07,1,rozado,wang
M,1773,2080,0.44325,0.796138302649304,ALL,gpt-5-nano-2025-08-07,1,rozado,karvonen
W,2227,1920,0.55675,1.0,ALL,gpt-5-nano-2025-08-07,1,rozado,karvonen
M,941,1037,0.4705,0.8885741265344664,ALL,gpt-5-nano-2025-08-07,1,rozado,zollo
W,1059,963,0.5295,1.0,ALL,gpt-5-nano-2025-08-07,1,rozado,zollo
M,1544,2076,0.386,0.6286644951140066,ALL,gpt-5-nano-2025-08-07,1,rozado,yin
W,2456,1924,0.614,1.0,ALL,gpt-5-nano-2025-08-07,1,rozado,yin
M,2030,2043,0.5075,1.0,ALL,gpt-5-nano-2025-08-07,1,wen,armstrong
W,1970,1957,0.4925,0.9704433497536946,ALL,gpt-5-nano-2025-08-07,1,wen,armstrong
M,1902,2040,0.4755,0.9065776930409915,ALL,gpt-5-nano-2025-08-07,1,wen,rozado
W,2098,1960,0.5245,1.0,ALL,gpt-5-nano-2025-08-07,1,wen,rozado
M,1944,2044,0.486,0.9455252918287937,ALL,gpt-5-nano-2025-08-07,1,wen,wen
W,2056,1956,0.514,1.0,ALL,gpt-5-nano-2025-08-07,1,wen,wen
M,1850,2044,0.4625,0.8604651162790699,ALL,gpt-5-nano-2025-08-07,1,wen,wang
W,2150,1956,0.5375,1.0,ALL,gpt-5-nano-2025-08-07,1,wen,wang
M,1831,2047,0.45775,0.8441678192715537,ALL,gpt-5-nano-2025-08-07,1,wen,karvonen
W,2169,1953,0.54225,1.0,ALL,gpt-5-nano-2025-08-07,1,wen,karvonen
M,936,1022,0.468,0.8796992481203008,ALL,gpt-5-nano-2025-08-07,1,wen,zollo
W,1064,978,0.532,1.0,ALL,gpt-5-nano-2025-08-07,1,wen,zollo
M,1658,2039,0.4145,0.7079419299743808,ALL,gpt-5-nano-2025-08-07,1,wen,yin
W,2342,1961,0.5855,1.0,ALL,gpt-5-nano-2025-08-07,1,wen,yin
M,2083,2083,0.52075,1.0,ALL,gpt-5-nano-2025-08-07,1,wang,armstrong
W,1917,1917,0.47925,0.9203072491598655,ALL,gpt-5-nano-2025-08-07,1,wang,armstrong
M,2092,2092,0.523,1.0,ALL,gpt-5-nano-2025-08-07,1,wang,rozado
W,1908,1908,0.477,0.9120458891013383,ALL,gpt-5-nano-2025-08-07,1,wang,rozado
M,2081,2081,0.52025,1.0,ALL,gpt-5-nano-2025-08-07,1,wang,wen
W,1919,1919,0.47975,0.9221528111484864,ALL,gpt-5-nano-2025-08-07,1,wang,wen
M,2086,2086,0.5215,1.0,ALL,gpt-5-nano-2025-08-07,1,wang,wang
W,1914,1914,0.4785,0.9175455417066155,ALL,gpt-5-nano-2025-08-07,1,wang,wang
M,2088,2088,0.522,1.0,ALL,gpt-5-nano-2025-08-07,1,wang,karvonen
W,1912,1912,0.478,0.9157088122605364,ALL,gpt-5-nano-2025-08-07,1,wang,karvonen
M,1045,1045,0.5225,1.0,ALL,gpt-5-nano-2025-08-07,1,wang,zollo
W,955,955,0.4775,0.9138755980861244,ALL,gpt-5-nano-2025-08-07,1,wang,zollo
M,2085,2085,0.52125,1.0,ALL,gpt-5-nano-2025-08-07,1,wang,yin
W,1915,1915,0.47875,0.9184652278177459,ALL,gpt-5-nano-2025-08-07,1,wang,yin
M,1952,1976,0.488,0.953125,ALL,gpt-5-nano-2025-08-07,1,seshadri,armstrong
W,2048,2024,0.512,1.0,ALL,gpt-5-nano-2025-08-07,1,seshadri,armstrong
M,1952,1969,0.488,0.953125,ALL,gpt-5-nano-2025-08-07,1,seshadri,rozado
W,2048,2031,0.512,1.0,ALL,gpt-5-nano-2025-08-07,1,seshadri,rozado
M,1956,1988,0.489,0.9569471624266145,ALL,gpt-5-nano-2025-08-07,1,seshadri,wen
W,2044,2012,0.511,1.0,ALL,gpt-5-nano-2025-08-07,1,seshadri,wen
M,2012,1978,0.503,1.0,ALL,gpt-5-nano-2025-08-07,1,seshadri,wang
W,1988,2022,0.497,0.9880715705765407,ALL,gpt-5-nano-2025-08-07,1,seshadri,wang
M,1882,1974,0.4705,0.8885741265344664,ALL,gpt-5-nano-2025-08-07,1,seshadri,karvonen
W,2118,2026,0.5295,1.0,ALL,gpt-5-nano-2025-08-07,1,seshadri,karvonen
M,987,988,0.4935,0.9743336623889438,ALL,gpt-5-nano-2025-08-07,1,seshadri,zollo
W,1013,1012,0.5065,1.0,ALL,gpt-5-nano-2025-08-07,1,seshadri,zollo
M,1744,1977,0.436,0.773049645390071,ALL,gpt-5-nano-2025-08-07,1,seshadri,yin
W,2256,2023,0.564,1.0,ALL,gpt-5-nano-2025-08-07,1,seshadri,yin
M,1977,1996,0.49425,0.977261492832427,ALL,gpt-5-nano-2025-08-07,1,karvonen,armstrong
W,2023,2004,0.50575,1.0,ALL,gpt-5-nano-2025-08-07,1,karvonen,armstrong
M,1940,1994,0.485,0.9417475728155339,ALL,gpt-5-nano-2025-08-07,1,karvonen,rozado
W,2060,2006,0.515,1.0,ALL,gpt-5-nano-2025-08-07,1,karvonen,rozado
M,2035,1995,0.50875,1.0,ALL,gpt-5-nano-2025-08-07,1,karvonen,wen
W,1965,2005,0.49125,0.9656019656019655,ALL,gpt-5-nano-2025-08-07,1,karvonen,wen
M,2067,1994,0.51675,1.0,ALL,gpt-5-nano-2025-08-07,1,karvonen,wang
W,1933,2006,0.48325,0.9351717464925011,ALL,gpt-5-nano-2025-08-07,1,karvonen,wang
M,1962,1991,0.4905,0.9627085377821394,ALL,gpt-5-nano-2025-08-07,1,karvonen,karvonen
W,2038,2009,0.5095,1.0,ALL,gpt-5-nano-2025-08-07,1,karvonen,karvonen
M,998,998,0.499,0.9960079840319361,ALL,gpt-5-nano-2025-08-07,1,karvonen,zollo
W,1002,1002,0.501,1.0,ALL,gpt-5-nano-2025-08-07,1,karvonen,zollo
M,1636,1997,0.409,0.6920473773265652,ALL,gpt-5-nano-2025-08-07,1,karvonen,yin
W,2364,2003,0.591,1.0,ALL,gpt-5-nano-2025-08-07,1,karvonen,yin
M,1913,1900,0.47825,0.9166267369429802,ALL,gpt-5-nano-2025-08-07,1,zollo,armstrong
W,2087,2100,0.52175,1.0,ALL,gpt-5-nano-2025-08-07,1,zollo,armstrong
M,1827,1907,0.45675,0.8407731247123792,ALL,gpt-5-nano-2025-08-07,1,zollo,rozado
W,2173,2093,0.54325,1.0,ALL,gpt-5-nano-2025-08-07,1,zollo,rozado
M,1958,1910,0.4895,0.9588638589618023,ALL,gpt-5-nano-2025-08-07,1,zollo,wen
W,2042,2090,0.5105,1.0,ALL,gpt-5-nano-2025-08-07,1,zollo,wen
M,1979,1908,0.49475,0.9792182088075211,ALL,gpt-5-nano-2025-08-07,1,zollo,wang
W,2021,2092,0.50525,1.0,ALL,gpt-5-nano-2025-08-07,1,zollo,wang
M,1775,1910,0.44375,0.797752808988764,ALL,gpt-5-nano-2025-08-07,1,zollo,karvonen
W,2225,2090,0.55625,1.0,ALL,gpt-5-nano-2025-08-07,1,zollo,karvonen
M,953,956,0.4765,0.9102196752626552,ALL,gpt-5-nano-2025-08-07,1,zollo,zollo
W,1047,1044,0.5235,1.0,ALL,gpt-5-nano-2025-08-07,1,zollo,zollo
M,1606,1903,0.4015,0.670843776106934,ALL,gpt-5-nano-2025-08-07,1,zollo,yin
W,2394,2097,0.5985,1.0,ALL,gpt-5-nano-2025-08-07,1,zollo,yin
M,1919,1908,0.47975,0.9221528111484864,ALL,gpt-5-nano-2025-08-07,1,yin,armstrong
W,2081,2092,0.52025,1.0,ALL,gpt-5-nano-2025-08-07,1,yin,armstrong
M,1838,1908,0.4595,0.8501387604070306,ALL,gpt-5-nano-2025-08-07,1,yin,rozado
W,2162,2092,0.5405,1.0,ALL,gpt-5-nano-2025-08-07,1,yin,rozado
M,1945,1905,0.48625,0.9464720194647201,ALL,gpt-5-nano-2025-08-07,1,yin,wen
W,2055,2095,0.51375,1.0,ALL,gpt-5-nano-2025-08-07,1,yin,wen
M,1904,1906,0.476,0.9083969465648855,ALL,gpt-5-nano-2025-08-07,1,yin,wang
W,2096,2094,0.524,1.0,ALL,gpt-5-nano-2025-08-07,1,yin,wang
M,1762,1909,0.4405,0.7873100983020554,ALL,gpt-5-nano-2025-08-07,1,yin,karvonen
W,2238,2091,0.5595,1.0,ALL,gpt-5-nano-2025-08-07,1,yin,karvonen
M,988,954,0.494,0.9762845849802372,ALL,gpt-5-nano-2025-08-07,1,yin,zollo
W,1012,1046,0.506,1.0,ALL,gpt-5-nano-2025-08-07,1,yin,zollo
M,1626,1906,0.4065,0.6849199663016006,ALL,gpt-5-nano-2025-08-07,1,yin,yin
W,2374,2094,0.5935,1.0,ALL,gpt-5-nano-2025-08-07,1,yin,yin
